,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
1,Utah Jazz,52,20,.722,0.0,116.4,107.2,8.97,2021
2,Denver Nuggets,47,25,.653,5.0,115.1,110.1,4.82,2021
3,Portland Trail Blazers,42,30,.583,10.0,116.1,114.3,1.81,2021
4,Minnesota Timberwolves,23,49,.319,29.0,112.1,117.7,-5.25,2021
5,Oklahoma City Thunder,22,50,.306,30.0,105.0,115.6,-10.13,2021
7,Phoenix Suns,51,21,.708,0.0,115.3,109.5,5.67,2021
8,Los Angeles Clippers,47,25,.653,4.0,114.0,107.8,6.02,2021
9,Los Angeles Lakers,42,30,.583,9.0,109.5,106.8,2.77,2021
10,Golden State Warriors,39,33,.542,12.0,113.7,112.7,1.10,2021
11,Sacramento Kings,31,41,.431,20.0,113.7,117.4,-3.45,2021
13,Dallas Mavericks,42,30,.583,0.0,112.4,110.2,2.26,2021
14,Memphis Grizzlies,38,34,.528,4.0,113.3,112.3,1.07,2021
15,San Antonio Spurs,33,39,.458,9.0,111.1,112.8,-1.58,2021
16,New Orleans Pelicans,31,41,.431,11.0,114.6,114.9,-0.20,2021
17,Houston Rockets,17,55,.236,25.0,108.8,116.7,-7.50,2021
